BRIDGE NAME,EASTING,NORTHING,OWNER
WILLSWORTHY BRIDGE,253368,81656,Devon County Council
WITHILL,254874,72761,Devon County Council
WISDOME MILL BRIDGE,261448,60879,Devon County Council
WOODMAN'S CORNER (1),252938,68336,Devon County Council
YELVERTON (2) WESTELLA,252384,67794,Unknown
YELVERTON (3) WESTELLA,252405,67768,Devon County Council
YELVERTON (4)SOUTHELLA,252541,67832,Devon County Council
CHILLY WOOD FOOTBRIDGE,253082,80356,Unknown
DOUBLE WATERS,247606,69883,Devon County Council
HAM PLANTATION FOOTBRIDGE,253057,62251,Devon County Council
LEATHER TOR BRIDGE,256884,69950,Unknown
LONGASH,254827,74179,Unknown
LOWER GODSWORTHY,252748,77524,Unknown
MARY TAVY CLAM,251033,78445,Devon County Council
POWDER MILLS,262855,77130,Unknown
RINGHILL BRIDGE,264875,79452,Devon County Council
STICKLEPATH WOOD,249722,70268,Devon County Council
THE CLAM FOOTBRIDGE,257610,51288,Devon County Council
COUNTESS WEAR RAILWAY,293886,89175,Devon County Council
MATFORD PARK CULVERT,293738,89048,Devon County Council
POWDERHAM ARCH,295303,84889,Unknown
KENTON BRIDGE (JOHN TOLLS),295299,84521,Devon County Council
ELM COURT SLIPWAY,297791,81466,Devon County Council
WAPPERWELL CATTLE CREEP,288738,78316,Devon County Council
WAPPERWELL,288306,77966,Devon County Council
IDEFORD ARCH,288604,77684,Devon County Council
KINGS BRIDGE,276004,85678,Devon County Council
ONE MILL CULVERT,276260,85441,Devon County Council
WRAY BRIDGE,277148,84211,Devon County Council
BOVEY BRIDGE,281454,78230,Devon County Council
SKINNERS BRIDGE CULVERT,281293,78139,Devon County Council
DRUMBRIDGES CULVERT C,282921,75337,Devon County Council
DRUMBRIDGES CULVERT A,282841,75242,Devon County Council
DRUMBRIDGES CULVERT B,282852,75307,Devon County Council
DRUMBRIDGES CULVERT D,283009,75168,Devon County Council
MILL CROSS (NEW),281588,71918,Devon County Council
BRIDFORD,283398,87235,Devon County Council
BRIDFORD MILL,283302,87170,Devon County Council
SOWTON COTTAGE,282340,88408,Devon County Council
SOWTON MILL,282358,88433,Devon County Council
TEIGN HOUSE INN,283739,86713,Devon County Council
MANOR,284059,82402,Devon County Council
DOGHOLE,284268,81692,Devon County Council
PITT ARMCO CULVERT,285173,77698,Devon County Council
WORMHILL BRIDGE,272160,84859,Devon County Council
HIGHER KINGS,275889,86005,Devon County Council
COSSICK BRIDGE,277750,86319,Devon County Council
DOCCOMBE BRIDGE,277723,86859,Devon County Council
DUCKSMOOR COTTAGE,278345,87280,Devon County Council
STEPS BRIDGE,280486,88315,Devon County Council
STEPS MILL LEAT,280509,88336,Devon County Council
MILL HOUSE,281042,88654,Devon County Council
GREEN,282013,88948,Devon County Council
FARRANTS,283532,89414,Devon County Council
POCOMBE,289531,91342,Devon County Council
BARRAMOOR,271757,83431,Devon County Council
HAYNE BROOK,275694,80528,Devon County Council
NEW BRIDGE,275778,80048,Devon County Council
REDDAFORD WATER,278840,78983,Devon County Council
BOVEY LEAT,281277,78180,Devon County Council
KNIGHTON HEATH,284412,77392,Devon County Council
PITT COTTAGE,285069,77756,Devon County Council
CHUDLEIGH RIVER,285736,78496,Devon County Council
CHUDLEIGH RAILWAY,285765,78507,Devon County Council
CLEVELANDS CULVERT,287255,79893,Devon County Council
BUNKERS,284514,77274,Devon County Council
CASTLE,275087,69269,Devon County Council
TOWN,275581,69873,Devon County Council
ASHBURTON ROAD CULVERT,281156,77522,Devon County Council
